The cat chased the mouse.
A dog barked at the mailman.
The bird sang a sweet song.
A frog leaped into the pond.
The duck swam in the lake.
A bear hibernated in the cave.
The lion roared in the savanna.
A deer grazed in the meadow.
The owl hooted in the night.
A fox prowled in the forest.
The hen laid eggs in the coop.
A bat flew through the sky.
The seal basked on the rock.
A cow grazed in the pasture.
The lamb frolicked in the field.
A crab scuttled on the beach.
The mole dug a tunnel underground.
A hawk soared above the trees.
The shrimp swam in the aquarium.
A snake slithered in the grass.
The goat climbed the steep hill.
A moth fluttered near the light.
The pig rolled in the mud.
A crow perched on the fence.
A wolf howled at the moon.
The ram butted heads with another.
The yak grazed on the mountain.
The ape swung from the branch.
A rat scurried in the alley.
A rabbit hopped in the garden.
